item_id,title,genre,release_date,popularity_score,quality_score,price,duration_minutes,language,rating_avg,rating_count
item_000156,User-centric 6thgeneration knowledge user,Comedy,2025-02-01,0.21,0.827,3.98,124,French,2.4,2191
item_000157,Re-engineered solution-oriented core,Crime,2019-03-19,0.119,0.684,2.97,174,English,3.8,2698
item_000158,Phased motivating collaboration,Science Fiction,2025-07-29,0.22,0.682,11.17,84,Spanish,4.8,7258
item_000159,Organized bi-directional workforce,Drama,2024-12-27,0.035,0.544,3.5,55,Spanish,4.3,9669
item_000160,Mandatory transitional artificial intelligence,Mystery,2021-01-16,0.13,0.86,11.18,139,French,4.4,4069
item_000161,Enhanced 6thgeneration encryption,Fantasy,2023-01-27,0.411,0.803,0.0,51,Spanish,3.7,9840
item_000162,Organic multi-tasking model,History,2022-02-04,0.214,0.853,0.0,36,French,2.6,9953
item_000163,Multi-lateral holistic forecast,War,2019-11-15,0.454,0.679,6.46,130,French,3.9,3931
item_000164,Vision-oriented global service-desk,Thriller,2021-12-23,0.28,0.739,0.0,128,English,2.7,9740
item_000165,Self-enabling secondary groupware,Animation,2016-08-27,0.433,0.85,16.31,33,French,4.8,2172
item_000166,Cross-platform next generation service-desk,Mystery,2019-11-12,0.42,0.573,25.95,175,German,3.1,2840
item_000167,Function-based uniform protocol,Thriller,2025-08-22,0.07,0.392,28.67,48,English,3.8,235
item_000168,Robust coherent groupware,Fantasy,2016-10-23,0.275,0.299,7.25,45,German,3.5,8219
item_000169,Switchable client-server hardware,Romance,2019-02-06,0.231,1.0,0.0,138,German,2.2,8801
item_000170,Streamlined tangible protocol,Western,2019-12-01,0.026,0.655,0.0,69,French,2.3,1304
item_000171,Right-sized tertiary artificial intelligence,War,2019-02-03,0.386,0.48,27.7,69,Japanese,3.0,9618
item_000172,Multi-tiered secondary utilization,Animation,2019-04-13,0.351,0.494,9.98,141,Spanish,2.2,1422
item_000173,De-engineered static standardization,Romance,2024-04-15,0.422,0.4,4.35,44,French,4.0,2887
item_000174,User-centric systemic moderator,Comedy,2016-12-06,0.094,0.877,1.36,65,English,2.5,5690
item_000175,Synchronized interactive migration,War,2019-08-13,0.137,0.929,15.99,96,Spanish,3.1,4413
item_000176,Multi-lateral fault-tolerant contingency,Comedy,2025-07-05,0.085,0.625,0.0,37,French,4.4,4466
item_000177,Mandatory zero administration matrix,War,2017-12-01,0.453,0.578,2.84,177,English,3.5,8378
item_000178,Devolved coherent archive,Music,2018-12-15,0.218,0.481,2.6,175,Spanish,3.1,4189
item_000179,Cross-platform motivating throughput,Comedy,2021-05-24,0.088,0.914,0.0,176,English,2.7,8346
item_000180,User-centric multi-tasking alliance,Action,2022-08-14,0.462,0.768,2.27,33,Spanish,2.1,5973
item_000181,Visionary regional capacity,Mystery,2021-12-20,0.221,0.396,27.68,75,English,3.7,6880
item_000182,Distributed cohesive contingency,Family,2024-04-23,0.172,0.717,10.32,136,French,2.8,1286
item_000183,Visionary regional workforce,Music,2025-01-09,0.129,0.605,0.0,60,Japanese,4.0,872
item_000184,Up-sized leadingedge analyzer,Documentary,2020-02-08,0.225,0.613,0.0,87,Japanese,4.9,6578
item_000185,Synergistic uniform encoding,Animation,2025-09-10,0.29,0.558,0.0,149,French,4.3,5100
item_000186,Seamless executive system engine,Horror,2023-06-26,0.28,0.698,0.0,52,Japanese,3.4,6054
item_000187,Organized discrete monitoring,Drama,2018-05-22,0.346,0.756,0.0,104,Japanese,4.4,3984
item_000188,Phased content-based hub,Science Fiction,2022-10-12,0.228,0.772,11.67,156,Spanish,4.2,8964
item_000189,Re-engineered leadingedge Local Area Network,Family,2023-09-10,0.207,0.779,5.36,134,English,2.7,5685
item_000190,Vision-oriented homogeneous middleware,Action,2021-04-09,0.633,0.601,28.57,30,German,4.5,5048
item_000191,Diverse dedicated website,Comedy,2022-01-16,0.634,0.098,0.0,82,Japanese,4.9,6888
item_000192,Function-based actuating project,Thriller,2020-10-20,0.326,0.482,0.0,45,Spanish,4.1,1534
item_000193,Multi-layered neutral benchmark,Adventure,2023-02-10,0.345,0.799,0.0,89,Japanese,3.2,6112
item_000194,Programmable bottom-line forecast,Science Fiction,2016-11-01,0.007,0.592,29.25,51,Japanese,2.3,2197
item_000195,Diverse encompassing knowledge user,Mystery,2025-01-19,0.633,0.709,0.0,49,Japanese,3.7,7136
item_000196,Digitized intermediate array,Crime,2025-06-18,0.201,0.604,7.86,96,French,4.8,6448
item_000197,Face-to-face local hardware,Horror,2025-04-21,0.547,0.699,10.21,99,Spanish,2.2,3331
item_000198,Operative actuating infrastructure,Crime,2021-01-06,0.27,0.784,23.61,179,English,2.5,2703
item_000199,Front-line human-resource artificial intelligence,Science Fiction,2019-09-30,0.041,0.387,14.51,134,English,3.6,3411
item_000200,Assimilated foreground attitude,Science Fiction,2024-05-22,0.061,0.684,9.93,97,English,2.3,4994
item_000201,Streamlined full-range utilization,Adventure,2017-06-16,0.138,0.733,7.23,113,Spanish,2.3,4076
item_000202,Automated executive leverage,Music,2022-12-16,0.404,0.747,12.48,42,French,2.8,2858
item_000203,Devolved well-modulated strategy,Action,2020-09-08,0.431,0.522,28.6,145,Japanese,4.2,4103
item_000204,Seamless 24hour artificial intelligence,Comedy,2016-03-09,0.412,0.758,14.39,65,English,2.0,3651
item_000205,Extended coherent neural-net,Crime,2025-05-26,0.041,0.595,6.74,132,French,4.1,1386
item_000206,Robust multi-tasking interface,Fantasy,2017-02-09,0.039,0.686,27.6,49,English,5.0,3249
item_000207,Horizontal disintermediate framework,Science Fiction,2017-03-20,0.222,0.895,0.0,62,English,4.7,5442
item_000208,Front-line intangible productivity,Comedy,2023-12-09,0.184,0.802,0.0,40,German,2.2,9412
item_000209,Persevering asymmetric budgetary management,Romance,2024-05-13,0.354,0.658,24.82,131,German,2.1,7000
item_000210,Proactive radical monitoring,Documentary,2016-02-29,0.643,0.503,0.0,120,Spanish,4.7,4515
item_000211,Profound object-oriented encoding,Fantasy,2023-03-08,0.227,0.841,13.92,68,English,3.8,4036
item_000212,Implemented interactive ability,History,2022-02-22,0.132,0.709,15.46,170,German,2.2,4593
item_000213,Front-line object-oriented instruction set,Mystery,2017-11-14,0.067,0.901,4.97,81,Japanese,2.7,8917
item_000214,Synchronized attitude-oriented moderator,Action,2025-09-29,0.32,0.944,29.68,121,German,3.6,7950
item_000215,Cloned multi-tasking moratorium,Music,2021-01-26,0.152,0.88,27.46,158,French,3.2,2956
item_000216,Profit-focused neutral adapter,Action,2019-11-26,0.511,0.795,10.24,86,English,4.7,4612
item_000217,Phased 6thgeneration productivity,Adventure,2019-11-13,0.395,0.637,24.44,150,Japanese,3.1,9578
item_000218,Multi-layered eco-centric synergy,Family,2016-02-28,0.438,0.691,29.24,55,Spanish,4.0,4376
item_000219,Cloned grid-enabled encoding,Western,2023-04-30,0.186,0.709,24.66,44,Spanish,3.7,6373
item_000220,Self-enabling bi-directional throughput,Music,2021-10-25,0.26,0.818,0.0,74,Spanish,2.7,5220
item_000221,Versatile full-range challenge,Music,2016-06-09,0.339,0.939,27.5,37,French,4.8,9244
item_000222,Quality-focused global project,Crime,2017-09-30,0.185,0.352,17.32,78,German,3.6,2886
item_000223,Vision-oriented systemic Local Area Network,Thriller,2025-10-21,0.129,0.829,0.0,39,English,2.2,9867
item_000224,Polarized responsive contingency,Family,2024-02-11,0.009,0.731,1.57,152,English,3.0,3310
item_000225,Cloned transitional time-frame,Crime,2025-06-07,0.354,0.619,10.87,75,French,2.2,2430
item_000226,Automated explicit customer loyalty,Crime,2016-06-08,0.235,0.765,0.0,58,Japanese,4.6,1198
item_000227,Exclusive 6thgeneration functionalities,Music,2025-05-01,0.264,0.507,0.0,131,Japanese,2.3,4954
item_000228,Profound hybrid moratorium,Horror,2020-09-24,0.332,0.797,4.95,70,German,4.4,7992
item_000229,Automated web-enabled project,Horror,2017-11-28,0.441,0.869,6.04,173,Japanese,4.4,3667
item_000230,Multi-channeled zero-defect application,Documentary,2024-08-27,0.265,0.488,11.96,105,Spanish,2.5,39
item_000231,Managed encompassing capability,Mystery,2023-12-28,0.339,0.256,25.66,175,English,2.5,5223
item_000232,Optional impactful synergy,Family,2020-05-24,0.355,0.77,0.0,174,English,4.8,2314
item_000233,Networked global contingency,Horror,2020-12-16,0.309,0.254,22.6,90,French,4.9,2760
item_000234,Proactive holistic website,Animation,2021-03-10,0.142,0.632,24.82,115,German,2.0,3445
item_000235,Configurable upward-trending interface,Family,2016-10-14,0.287,0.836,21.09,119,French,4.4,30
item_000236,Robust contextually-based moratorium,Adventure,2018-12-08,0.061,0.796,0.0,128,German,4.2,2735
item_000237,Customer-focused attitude-oriented Graphic Interface,Romance,2022-08-10,0.368,0.759,0.0,156,German,3.1,6159
item_000238,Integrated local portal,Comedy,2023-03-05,0.423,0.39,0.0,152,Japanese,4.0,3705
item_000239,Down-sized system-worthy intranet,Documentary,2019-07-07,0.257,1.0,14.08,38,French,2.1,4288
item_000240,Balanced upward-trending help-desk,Comedy,2022-02-23,0.284,0.87,3.14,73,German,2.5,1238
item_000241,Optional even-keeled productivity,Western,2025-10-19,0.296,0.957,28.3,53,French,3.8,7919
item_000242,Centralized asynchronous secured line,Action,2022-05-16,0.339,0.608,13.5,72,Japanese,4.7,2583
item_000243,Multi-lateral multimedia website,Adventure,2023-07-01,0.529,0.757,0.0,55,French,2.6,3122
item_000244,Diverse 4thgeneration circuit,Romance,2024-06-26,0.448,0.784,21.21,168,French,4.0,4882
item_000245,Synergistic zero tolerance intranet,Family,2016-05-06,0.156,0.508,0.0,54,English,3.2,9015
item_000246,Cloned disintermediate time-frame,Thriller,2022-06-13,0.246,0.266,5.44,122,English,3.3,4835
item_000247,Multi-lateral human-resource open system,Thriller,2016-04-27,0.16,0.429,0.0,81,English,2.1,2808
item_000248,Distributed systematic knowledge user,History,2025-06-27,0.202,0.838,0.0,50,German,4.5,5062
item_000249,Multi-layered leadingedge task-force,Mystery,2016-10-06,0.246,0.686,14.65,97,English,3.9,6359
item_000250,Devolved multi-tasking hierarchy,Documentary,2019-12-24,0.258,0.664,11.75,127,French,2.6,741
item_000251,Streamlined even-keeled encryption,Fantasy,2025-08-08,0.12,0.52,0.0,142,German,2.8,4410
item_000252,Assimilated user-facing contingency,Adventure,2020-12-27,0.131,0.936,5.37,54,English,4.0,8881
item_000253,Networked next generation capability,Romance,2018-08-13,0.443,0.59,29.14,180,Spanish,3.7,6352
item_000254,Fundamental tertiary knowledge user,War,2018-02-21,0.443,0.848,0.0,137,Japanese,4.1,7789
item_000255,Seamless executive solution,Family,2025-02-28,0.188,0.853,14.8,50,German,4.7,578
item_000256,Pre-emptive dedicated capability,War,2017-05-09,0.066,0.774,0.0,176,Japanese,4.4,2425
item_000257,Compatible local conglomeration,Comedy,2024-12-25,0.312,0.654,28.52,144,Spanish,4.8,2748
item_000258,Organic background workforce,Drama,2022-10-26,0.516,0.499,24.44,62,English,3.3,7143
item_000259,Intuitive static hardware,Drama,2023-02-03,0.445,1.0,0.0,67,Japanese,2.8,1107
item_000260,Reactive needs-based frame,Animation,2024-11-29,0.133,0.454,12.24,131,Japanese,3.0,4535
item_000261,Diverse transitional strategy,War,2025-04-09,0.48,0.581,0.0,147,English,4.4,9636
